dataset,target,task_type,model,best_score,best_params,n_samples,n_features,n_cv_folds,timestamp,elapsed_seconds,accuracy,accuracy_std,f1_weighted,f1_weighted_std,precision_weighted,precision_weighted_std,recall_weighted,recall_weighted_std,r2,r2_std,neg_mean_squared_error,neg_mean_squared_error_std,neg_mean_absolute_error,neg_mean_absolute_error_std,mse,rmse,mae
deconvolution,Thickness,classification,K-Nearest Neighbors,0.5460869565217392,"{""knn__metric"": ""manhattan"", ""knn__n_neighbors"": 11, ""knn__weights"": ""distance""}",575,12,5,2026-01-18 21:13:18,0.8877451419830322,0.5460869565217392,0.03318049396232853,0.5266747591294352,0.037394093852905506,0.561215494757528,0.028669273343160162,0.5460869565217392,0.03318049396232853,,,,,,,,,
deconvolution,Thickness,classification,Logistic Regression,0.5199999999999999,"{""lr__C"": 1, ""lr__penalty"": ""l2"", ""lr__solver"": ""liblinear""}",575,12,5,2026-01-18 21:13:18,0.4953176975250244,0.5199999999999999,0.030322775259413355,0.4918221495674843,0.03866939821005244,0.519562106387242,0.030382625871586147,0.5199999999999999,0.030322775259413355,,,,,,,,,
deconvolution,Dielectric,classification,Random Forest,0.5913043478260869,"{""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 100}",575,12,5,2026-01-18 21:14:41,43.98344922065735,0.5913043478260869,0.03648030776244008,0.5772890579077485,0.03876563717936296,0.5928172075520479,0.04620943215932766,0.5913043478260869,0.03648030776244008,,,,,,,,,
deconvolution,Dielectric,classification,Gradient Boosting,0.5860869565217393,"{""gb__learning_rate"": 0.1, ""gb__max_depth"": 3, ""gb__n_estimators"": 100, ""gb__subsample"": 0.8}",575,12,5,2026-01-18 21:17:21,154.04702353477478,0.5860869565217393,0.0294113643918048,0.561378769297041,0.054656630166634315,0.5767821331122086,0.055984279383919235,0.5704347826086956,0.04173913043478259,,,,,,,,,
deconvolution,Dielectric,classification,Extra Trees,0.5704347826086957,"{""max_depth"": 20, ""min_samples_split"": 5, ""n_estimators"": 200}",575,12,5,2026-01-18 21:14:47,5.948133707046509,0.5704347826086957,0.04385920074058605,0.5553185174602595,0.04768808107728879,0.5680898773352715,0.04862173847992734,0.5704347826086957,0.04385920074058605,,,,,,,,,
deconvolution,Dielectric,classification,Hist Gradient Boosting,0.5704347826086957,"{""learning_rate"": 0.05, ""max_depth"": 3, ""max_iter"": 100}",575,12,5,2026-01-18 21:17:44,23.10415554046631,0.5704347826086957,0.04937415501418571,0.5630201300546354,0.045750332102577514,0.5743986532111044,0.04621435066987796,0.5704347826086957,0.04937415501418571,,,,,,,,,
deconvolution,Dielectric,classification,SVM,0.528695652173913,"{""svc__C"": 1, ""svc__gamma"": ""scale"", ""svc__kernel"": ""rbf""}",575,12,5,2026-01-18 21:17:45,1.4111011028289795,0.528695652173913,0.04056314361631513,0.5139585773011864,0.04007230983439203,0.542959178883664,0.03509735635531471,0.528695652173913,0.04056314361631513,,,,,,,,,
deconvolution,Dielectric,classification,K-Nearest Neighbors,0.528695652173913,"{""knn__metric"": ""euclidean"", ""knn__n_neighbors"": 5, ""knn__weights"": ""distance""}",575,12,5,2026-01-18 21:17:46,0.9053025245666504,0.528695652173913,0.03225606433215895,0.5163796236525643,0.03654436085481279,0.5179142417035548,0.038944530500871266,0.528695652173913,0.03225606433215895,,,,,,,,,
deconvolution,Dielectric,classification,Logistic Regression,0.5113043478260869,"{""lr__C"": 1, ""lr__penalty"": ""l2"", ""lr__solver"": ""liblinear""}",575,12,5,2026-01-18 21:17:47,0.5084748268127441,0.5113043478260869,0.04807052160377479,0.4830881204845513,0.050098443050035336,0.5007434771823325,0.0601257026241073,0.5113043478260869,0.04807052160377479,,,,,,,,,
deconvolution,Size,regression,Extra Trees Regressor,0.37233351703856804,"{""max_depth"": 30, ""n_estimators"": 200}",575,12,5,2026-01-18 21:18:54,3.6341867446899414,,,,,,,,,0.37233351703856804,0.08900114213914366,-16.64668630434783,2.0349546372139797,-3.2692260869565217,0.18879505776748778,16.64668630434783,4.080035086166274,3.2692260869565217
deconvolution,Size,regression,Random Forest Regressor,0.34851755510490035,"{""max_depth"": 20, ""min_samples_split"": 10, ""n_estimators"": 100}",575,12,5,2026-01-18 21:18:50,25.75060272216797,,,,,,,,,0.34851755510490035,0.0912961887304167,-17.295479735888005,2.240989467833345,-3.30246708256224,0.22251979312380704,17.295479735888005,4.15878344421635,3.30246708256224
